MMSI,IMO,Status,Name,Callsign,Type,Build Date,Gross Tonnage,Flag,Owner IMO Number,ITU VIN
205783000,9575668,In Service,MINERAL FAITH,ONKE,Bulk Carrier,2012,"91,971",Belgium,,
205786000,,In Service,HAWK HUNTER,ONKG,Container,,,Belgium,,
205789000,9846081,In Service,LA SELVA,ONKJ,Bulk Carrier,2019,"35,194",Belgium,,
205790000,9715816,In Service,CL CENTURY,ONKK,Bulk Carrier,2015,"34,349",Belgium,,
205795000,9386524,In Service,A LA MARINE,ONKP,Container,2009,"16,023",Belgium,,
205796000,9243289,In Service,CHARLEMAGNE,ORKC,Dredger,2002,"5,682",Belgium,,
205881700,,In Service,JOOLEY,OS8817,Sailing Vessel,,,Belgium,,
205939610,,In Service,KOMPAI,,Sailing,,,Belgium,,
207002000,,Not Found,RILA,LZGL,,,,,,
207007000,7529964,In Service,GEROITE NA ODESSA,LZEA,Ro-Ro Cargo,1978,"19,518",Bulgaria,,
207008000,7529976,In Service,GEROITE NASEVASTOPOL,LZEB,Ro-Ro Cargo,1978,"19,518",Bulgaria,,
207013000,7911052,In Service,SHIPKA,LZDV,,,1085,Bulgaria,,
207015000,8417766,In Service,ALEXANDER DIMITROV,LZEM,,,23609,Bulgaria,,
207018000,,Not Found,OKOLTCHITZA,LZIE,,,,,,
207020000,8105246,In Service,LILIANA DIMITROVA,LZDD,,,23,Bulgaria,,
207021000,8301840,In Service,SOZOPOL-1,LZGB,N/A,,,Bulgaria,,
207024000,,Not Found,MALYOVITZA,LZGE,,,,,,
207029000,,Not Found,SVILEN RUSSEV,LZHL,,,,,,
207033000,,Not Found,KOZNITSA,LZEN,,,,,,
207037000,8308410,In Service,STV KALIAKRA,LZKY,Sailing,,,Bulgaria,,
207038000,8138463,In Service,AKADEMIK,LZDA,Research,1979,905,Bulgaria,,
207042000,,Not Found,DIMITROVSKI KOMSOMOL,LZDL,,,,,,
207045000,8518065,In Service,VARNA 5,LZEF,,,7,Bulgaria,,
207049000,,Not Found,KAPITAN GEORGI GEORG,LZFB,,,,,,
207050000,,Not Found,YORDAN LUTIBROTSKI,LZHF,,,,,,
207083000,,Not Found,KAMENITZA,LZFW,,,,,,
207111000,,In Service,KITEN,LZGH,Dive Vessel,,,Bulgaria,,
207121000,,Not Found,ROUSSE,LZEC,,,,,,
207122000,8912479,In Service,PLOVDIV,LZFQ,,,"11,982",Bulgaria,,
207124000,9104811,In Service,SAKAR,LZFS,Bulk Carrier,1995,"13,957",Bulgaria,,
207135000,,Not Found,BALTIC STAR,LZFY,,,,,,
207136000,,In Service,VARNA,LZFZ,Ro-Ro Cargo,,"7,094",Bulgaria,,
207137000,9558490,In Service,PHOENIX,LZEL,General Cargo,,"11,927",Bulgaria,,
207138000,9553983,In Service,PEACE,LZEV,General Cargo,2012,"11,627",Bulgaria,,
207223000,8920957,In Service,MIZAR,LZPI,Tug,1990,220,Bulgaria,,
207243000,9188295,In Service,GOLDEN BLESSED,LZPG,Tug,2000,292,Bulgaria,,
207277000,9031698,In Service,DRUJBA,LZHX,Ro-Ro Cargo,1994,"14,398",Bulgaria,,
207345200,8012853,In Service,POLARIS,LZFK,Tanker,,2,Bulgaria,,
207347000,,Not Found,LENA KOLEVA,LZSH,,,,,,
207348000,7424774,In Service,ENTERPRISE,LZKN,,,"1,313",Bulgaria,,
207351000,7051034,In Service,MULTRATUG 25,LZRI,Tug,1971,280,Bulgaria,,
207354000,8107000,In Service,SILVIA,LZSI,,,"7,788",Bulgaria,,
207357000,,Not Found,DRUJBA,LZRM,Passenger,,,,,
207375000,,Not Found,BATYA,LZSM,Cargo,,,,,
207522200,,In Service,VERNI,LZBW,N/A,,,Bulgaria,,
207622460,9815915,In Service,ALCOR,LZF2246,Tug,,307,Bulgaria,,
207820000,,Not Found,BELLONA,LZHT,,,,,,
207834460,,Not Found,PATRA 3,LZH3446,General Cargo,,,,,
207834470,,Not Found,STEVIA,LZH3447,General Cargo,,,,,
209000259,,Not Found,VICTORY III,P3ZD3,,,,,,
209000685,,Not Found,ARNIS,P3JE4,,,,,,
209000721,,Not Found,CALYPSO N,P3KV4,,,,,,
209000876,,Not Found,PACIFIC SKIPPER,P3UW4,,,,,,
209004000,9689835,In Service,GRAECIA AETERNA,5BLN4,Cargo,2014-05,"43,291",Cyprus,5901096,
209005000,7403146,In Service,EAS,P3ZM4,Tug,1975-06,"1,191",Cyprus,1420534,
209006000,,Not Found,BELLA J,P3MT9,Container,,,,,
209008000,9415222,In Service,LABRADOR,5BXP2,Bulk Carrier,2010-07,"19,814",Cyprus,5453631,
209010000,,Not Found,MARC,5BPS4,General Cargo,,,,,
209011000,8512152,In Service,AL ANDALUS EXPRESS,5BMH4,Passenger,1987-12,"14,411",Cyprus,5691625,
209012000,9401960,In Service,ASTRAEA SB,5BPR4,Cargo,2009-07,"42,931",Cyprus,5940558,
209014000,9116802,In Service,RIX EMERALD,P3ME6,General Cargo,1995-03,"2,061",Cyprus,5935447,
209015000,9415208,In Service,TUNDRA,5BVN2,Bulk Carrier,2009-12,"19,814",Cyprus,4136565,
